epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.036,0,0,110.186,0,0,0,0,0,0,0,0,0,0,0,815.662,0,0.000407197,0.000407197,0.000407197
1,395.413,0,0,110.186,0,0,0,0,0,0,0,0,0,0,0,815.662,0,0.000407197,0.000407197,0.000407197
2,661.418,0,0,87.8073,0,0,0,0,0,0,0,0,0,0,0,125.067,0,0.000783082,0.000783082,0.000783082
3,928.967,0,0,74.6148,0,0,0,0,0,0,0,0,0,0,0,337.444,0,0.00111772,0.00111772,0.00111772
4,1204.73,0,0,61.9287,0,0,0,0,0,0,0,0,0,0,0,100.604,0,0.00106437,0.00106437,0.00106437
5,1481.34,0,0,50.6423,0,0,0,0,0,0,0,0,0,0,0,67.3809,0,0.0010025,0.0010025,0.0010025
6,1755.14,0,0,41.5103,0,0,0,0,0,0,0,0,0,0,0,63.587,0,0.000940625,0.000940625,0.000940625
7,2003.17,0,0,33.8933,0,0,0,0,0,0,0,0,0,0,0,56.7852,0,0.00087875,0.00087875,0.00087875
8,2251.03,0,0,27.4678,0,0,0,0,0,0,0,0,0,0,0,44.5664,0,0.000816875,0.000816875,0.000816875
9,2494.89,0,0,22.3067,0,0,0,0,0,0,0,0,0,0,0,37.0977,0,0.000755,0.000755,0.000755
10,2739.65,0,0,18.2969,0,0,0,0,0,0,0,0,0,0,0,29.7682,0,0.000693125,0.000693125,0.000693125
11,2986.22,0,0,15.0942,0,0,0,0,0,0,0,0,0,0,0,23.9058,0,0.00063125,0.00063125,0.00063125
12,3234.64,0,0,12.6162,0,0,0,0,0,0,0,0,0,0,0,20.3533,0,0.000569375,0.000569375,0.000569375
13,3481.79,0,0,10.6876,0,0,0,0,0,0,0,0,0,0,0,17.4219,0,0.0005075,0.0005075,0.0005075
14,3848.05,0,0,9.18746,0,0,0,0,0,0,0,0,0,0,0,15.1864,0,0.000445625,0.000445625,0.000445625
15,4250.36,0,0,8.05464,0,0,0,0,0,0,0,0,0,0,0,13.2976,0,0.00038375,0.00038375,0.00038375
16,4761.35,0,0,7.18781,0,0,0,0,0,0,0,0,0,0,0,11.8924,0,0.000321875,0.000321875,0.000321875
17,5215.84,0,0,6.52529,0,0,0,0,0,0,0,0,0,0,0,10.9537,0,0.00026,0.00026,0.00026
18,5646.08,0,0,6.03853,0,0,0,0,0,0,0,0,0,0,0,10.2898,0,0.000198125,0.000198125,0.000198125
19,5878.47,0,0,5.70214,0,0,0,0,0,0,0,0,0,0,0,9.80069,0,0.00013625,0.00013625,0.00013625
20,6214.04,0,0,5.49496,0,0,0,0,0,0,0,0,0,0,0,9.61156,0,7.4375e-05,7.4375e-05,7.4375e-05
